Date,Source_currency,Target_currency,Exchange_rate
2022-01-03,EUR,RWF,1148.061435
2022-01-03,EUR,SAR,4.24244
2022-01-03,EUR,SBD,9.138588
2022-01-03,EUR,SCR,16.675468
2022-01-03,EUR,SDG,494.3636
2022-01-03,EUR,SEK,10.29221
2022-01-03,EUR,SGD,1.529088
2022-01-03,EUR,SHP,1.556433
2022-01-03,EUR,SLL,12712.294093
2022-01-03,EUR,SOS,659.909152
2022-01-03,EUR,SRD,23.85953
2022-01-03,EUR,STD,23388.340338
2022-01-03,EUR,SVC,9.891757
2022-01-03,EUR,SYP,2839.070936
2022-01-03,EUR,SZL,17.8992
2022-01-03,EUR,THB,37.600709
2022-01-03,EUR,TJS,12.77288
2022-01-03,EUR,TMT,3.954936
2022-01-03,EUR,TND,3.259979
2022-01-03,EUR,TOP,2.56913
2022-01-03,EUR,TRY,14.777787
2022-01-03,EUR,TTD,7.686016
2022-01-03,EUR,TWD,31.179582
2022-01-03,EUR,TZS,2598.958252
2022-01-03,EUR,UAH,30.840045
2022-01-03,EUR,UGX,4007.271676
2022-01-03,EUR,UYU,50.546928
2022-01-03,EUR,UZS,12246.173553
2022-01-03,EUR,VEF,241624244057.02032
2022-01-03,EUR,VND,25825.732385
2022-01-03,EUR,VUV,127.973428
2022-01-03,EUR,WST,2.938146
2022-01-03,EUR,XAF,652.970466
2022-01-03,EUR,XAG,0.049304
2022-01-03,EUR,XAU,0.000626
2022-01-03,EUR,XCD,3.053832
2022-01-03,EUR,XDR,0.807706
2022-01-03,EUR,XOF,653.688869
2022-01-03,EUR,XPF,120.061188
2022-01-03,EUR,YER,282.778231
2022-01-03,EUR,ZAR,17.937892
2022-01-03,EUR,ZMK,10171.194552
2022-01-03,EUR,ZMW,18.841523
2022-01-03,EUR,ZWL,363.853655
2022-01-04,EUR,GBP,0.833908
2022-01-04,EUR,USD,1.128343
2022-01-04,EUR,AED,4.144514
2022-01-04,EUR,AFN,118.362513
2022-01-04,EUR,ALL,119.463303
2022-01-04,EUR,AMD,544.201872
2022-01-04,EUR,ANG,2.032711
2022-01-04,EUR,AOA,624.456835
2022-01-04,EUR,ARS,116.336834
2022-01-04,EUR,AUD,1.558361
2022-01-04,EUR,AWG,2.031018
2022-01-04,EUR,AZN,1.916075
2022-01-04,EUR,BAM,1.956321
2022-01-04,EUR,BBD,2.277372
2022-01-04,EUR,BDT,96.768007
2022-01-04,EUR,BGN,1.955542
2022-01-04,EUR,BHD,0.425398
2022-01-04,EUR,BIF,2262.328562
2022-01-04,EUR,BMD,1.128343
2022-01-04,EUR,BND,1.531259
2022-01-04,EUR,BOB,7.776853
2022-01-04,EUR,BRL,6.406278
2022-01-04,EUR,BSD,1.127883
2022-01-04,EUR,BTC,2.4600209e-05
2022-01-04,EUR,BTN,83.96145
2022-01-04,EUR,BWP,13.254429
2022-01-04,EUR,BYN,2.909931
2022-01-04,EUR,BYR,22115.531083
2022-01-04,EUR,BZD,2.273471
2022-01-04,EUR,CAD,1.433481
2022-01-04,EUR,CDF,2262.328476
2022-01-04,EUR,CHF,1.033822
2022-01-04,EUR,CLF,0.034653
2022-01-04,EUR,CLP,956.191991
2022-01-04,EUR,CNY,7.170964
2022-01-04,EUR,COP,4603.979667
2022-01-04,EUR,CRC,724.061873
2022-01-04,EUR,CUC,1.128343
2022-01-04,EUR,CUP,29.901101
2022-01-04,EUR,CVE,110.747303
2022-01-04,EUR,CZK,24.685959
2022-01-04,EUR,DJF,200.528926
2022-01-04,EUR,DKK,7.438261
2022-01-04,EUR,DOP,64.766957
2022-01-04,EUR,DZD,157.11166
2022-01-04,EUR,EGP,17.749629
2022-01-04,EUR,ERN,16.925239
2022-01-04,EUR,ETB,55.683559
2022-01-04,EUR,FJD,2.39468
2022-01-04,EUR,FKP,0.851199
2022-01-04,EUR,GEL,3.492251
